"Vaccine/Sample","Dose","Geography Type","Geography","Survey Year","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","93.0","89.6 to 95.4","428"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","95.7","92.9 to 97.4","434"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","96.8","94.6 to 98.1","434"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","93.2","88.8 to 96.0","374"
"HPV","≥2 Doses, Females","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","49.9","42.8 to 57.0","254"
"HPV","≥1 Dose, Males","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","75.1","67.8 to 81.2","252"
"HPV","Up-to-Date, Females","States/Local Areas","IL-Rest of state","2023","Age","13-15 Years","65.0","54.8 to 74.1","125"
"HPV","Up-to-Date, Females","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","73.4","65.8 to 79.8","208"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2023","Age","13-15 Years","90.2","85.0 to 93.8","246"
"HPV","Up-to-Date, Males","States/Local Areas","IL-Rest of state","2023","Age","13-15 Years","54.6","44.2 to 64.6","132"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2023","Age","13-15 Years","59.7","52.3 to 66.6","257"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2023","Age","13-15 Years","92.4","88.0 to 95.2","257"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2023","Age","13-15 Years","94.2","90.2 to 96.6","257"
"≥2 Doses Hep A","","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","80.5","75.7 to 84.6","460"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","92.2","89.0 to 94.5","460"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","93.6","90.7 to 95.6","460"
"Varicella","History of disease","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","6.2","3.9 to 9.7","460"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","91.7","88.3 to 94.2","434"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","95.9","93.4 to 97.5","434"
"HPV","Up-to-Date, Males","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","62.7","55.1 to 69.7","252"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","93.7","90.8 to 95.7","460"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","67.9","62.5 to 72.8","460"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","82.9","76.3 to 88.0","208"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","78.9","74.0 to 83.0","460"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","93.4","90.6 to 95.5","460"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","93.6","90.6 to 95.7","460"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2023","Age","13-17 Years","93.9","90.9 to 96.0","460"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2022","Age","13-15 Years","94.1","87.4 to 97.4","222"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","65.4","57.9 to 72.3","345"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2010","Age","13-17 Years","54.7","48.8 to 60.5","373"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2011","Age","13-17 Years","65.2","58.8 to 71.0","441"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2019","Age","13-17 Years","90.4","86.2 to 93.5","442"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2017","Age","13-17 Years","92.8","89.2 to 95.3","479"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2008","Age","13-17 Years","42.1","35.5 to 49.1","440"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2009","Age","13-17 Years","52.2","46.2 to 58.2","365"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018","Age","13-17 Years","91.5","88.3 to 93.8","529"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2016","Age","13-17 Years","92.5","89.2 to 94.8","448"
"HPV","≥3 Doses, Males and Females","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","12.6","8.2 to 18.9","345"
"HPV","≥3 Doses, Males and Females","States/Local Areas","IL-Rest of state","2011","Age","13-17 Years","18.1","13.2 to 24.3","441"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","94.6","90.9 to 96.8","349"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","87.6","80.9 to 92.2","345"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","89.5","85.8 to 92.4","496"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","93.7","90.3 to 96.0","435"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","78.0","72.2 to 82.9","349"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","75.6","70.3 to 80.3","435"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2017","Age","13-17 Years","94.6","91.9 to 96.5","479"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2016","Age","13-17 Years","93.7","90.5 to 95.8","448"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2012","Age","13-15 Years","17.7","9.6 to 30.3","106"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2011","Age","13-15 Years","22.7","15.2 to 32.4","142"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2010","Age","13-15 Years","20.6","13.7 to 29.8","123"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2017","Age","13-17 Years","88.9","85.0 to 91.8","479"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2016","Age","13-17 Years","82.3","77.6 to 86.3","448"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","78.1","73.4 to 82.2","496"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2009","Age","13-15 Years","20.5","13.2 to 30.6","96"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Overall","Overall","58.1","55.5 to 60.6","2207"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Overall","Overall","72.9","70.5 to 75.2","2207"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Urbanicity","Living In a MSA Principal City","73.0","66.9 to 78.4","375"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Urbanicity","Living In a MSA Non-Principal City","74.6","71.9 to 77.2","1608"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Urbanicity","Living In a Non-MSA","60.0","52.1 to 67.5","224"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Urbanicity","Living In a MSA Non-Principal City","59.4","56.3 to 62.4","1608"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Urbanicity","Living In a Non-MSA","42.7","34.8 to 51.0","224"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Urbanicity","Living In a MSA Principal City","93.7","89.9 to 96.1","375"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Urbanicity","Living In a MSA Non-Principal City","93.5","91.9 to 94.8","1608"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Urbanicity","Living In a Non-MSA","89.0","83.1 to 93.0","224"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Urbanicity","Living In a MSA Principal City","61.7","55.3 to 67.7","375"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","White, Non-Hispanic","56.2","52.9 to 59.4","1375"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Urbanicity","Living In a Non-MSA","95.1","90.9 to 97.4","224"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Urbanicity","Living In a MSA Principal City","92.8","88.8 to 95.5","375"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Urbanicity","Living In a MSA Non-Principal City","90.9","88.9 to 92.5","1608"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","78.0","70.8 to 83.8","256"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","97.0","94.6 to 98.4","256"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","Hispanic","60.7","54.7 to 66.4","405"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","Black, Non-Hispanic","58.5","49.5 to 67.0","171"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","62.3","54.3 to 69.6","256"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","White, Non-Hispanic","92.5","90.6 to 94.1","1375"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","White, Non-Hispanic","92.7","90.8 to 94.3","1375"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","Black, Non-Hispanic","90.4","84.8 to 94.2","171"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","Hispanic","93.1","89.6 to 95.5","405"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","Hispanic","90.0","85.6 to 93.2","405"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","Black, Non-Hispanic","88.7","82.4 to 92.9","171"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","92.7","87.2 to 95.9","256"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","White, Non-Hispanic","70.0","66.9 to 73.0","1375"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","Black, Non-Hispanic","75.4","67.1 to 82.1","171"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Race and Ethnicity","Hispanic","76.6","71.1 to 81.3","405"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Poverty","Below Poverty Level","73.2","66.7 to 78.8","294"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Poverty","Living At or Above Poverty Level","72.9","70.3 to 75.4","1834"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Poverty","Living At or Above Poverty Level","92.8","91.2 to 94.1","1834"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Poverty","Below Poverty Level","93.1","89.2 to 95.7","294"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Poverty","Below Poverty Level","56.8","49.7 to 63.7","294"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Poverty","Below Poverty Level","92.5","88.3 to 95.3","294"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Poverty","Living At or Above Poverty Level","58.0","55.2 to 60.8","1834"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Private Insurance Only","94.1","92.5 to 95.5","1474"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Poverty","Living At or Above Poverty Level","91.2","89.4 to 92.8","1834"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Any Medicaid","91.8","88.9 to 94.0","616"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Private Insurance Only","73.3","70.4 to 76.1","1474"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Other","88.1","77.4 to 94.1","73"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Any Medicaid","74.7","70.4 to 78.6","616"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Other","49.6","34.3 to 64.9","73"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Private Insurance Only","60.2","57.0 to 63.2","1474"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Uninsured","85.9","71.1 to 93.8","44"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Uninsured","59.6","40.8 to 76.0","44"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Any Medicaid","56.8","51.9 to 61.5","616"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Other","37.2","24.0 to 52.7","73"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Uninsured","40.6","24.8 to 58.7","44"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Private Insurance Only","92.4","90.4 to 94.0","1474"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Any Medicaid","91.0","87.9 to 93.3","616"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Other","81.7","65.9 to 91.1","73"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Insurance Coverage","Uninsured","90.3","72.6 to 97.0","44"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018-2022","Overall","Overall","93.1","91.7 to 94.2","2207"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018-2022","Overall","Overall","91.6","90.0 to 92.9","2207"
"HPV","Up-to-Date, Males","States/Local Areas","Alaska","2024","Age","13-17 Years","55.6","44.9 to 65.8","109"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Alaska","2024","Age","13-17 Years","51.8","44.4 to 59.0","223"
"HPV","Up-to-Date, Males","States/Local Areas","Alaska","2024","Age","13-15 Years","47.1","34.0 to 60.7","64"
"HPV","Up-to-Date, Females","States/Local Areas","Alaska","2024","Age","13-17 Years","47.6","37.9 to 57.6","114"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Alaska","2024","Age","13-17 Years","91.6","87.0 to 94.7","223"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Alaska","2023","Age","13-17 Years","82.4","75.2 to 87.9","249"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Alaska","2023","Age","13-17 Years","81.0","73.7 to 86.6","249"
"≥1 Dose MenACWY","","States/Local Areas","Alaska","2023","Age","13-17 Years","74.9","67.4 to 81.1","249"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Alaska","2023","Age","13-17 Years","71.8","64.3 to 78.2","249"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Alaska","2023","Age","13-17 Years","54.4","46.8 to 61.9","249"
"HPV","Up-to-Date, Males","States/Local Areas","Alaska","2023","Age","13-17 Years","52.0","41.7 to 62.1","136"
"≥2 Doses MMR","","States/Local Areas","Alaska","2023","Age","13-17 Years","91.3","85.5 to 95.0","249"
"Varicella","History of disease","States/Local Areas","Alaska","2023","Age","13-17 Years","7.2","4.4 to 11.6","249"
"≥3 Doses HepB","","States/Local Areas","Alaska","2023","Age","13-17 Years","90.4","84.4 to 94.2","249"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Alaska","2023","Age","13-17 Years","89.5","83.2 to 93.6","230"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Alaska","2023","Age","13-17 Years","92.1","85.8 to 95.8","230"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Alaska","2023","Age","13-17 Years","90.2","84.3 to 94.1","249"
"≥2 Doses Hep A","","States/Local Areas","Alaska","2023","Age","13-17 Years","91.6","85.7 to 95.2","249"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Alaska","2023","Age","13-15 Years","76.1","66.1 to 83.9","150"
"≥1 Dose MenACWY","","States/Local Areas","Alaska","2023","Age","13-15 Years","69.4","59.2 to 78.0","150"
